NMT,Nombre,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.6,74.9,72.2,65.7,57.3,50.2
2,Carlos V,69.7,76.2,71.7,68.4,61.7,55.2
3,Plaza del Carmen,61.7,69.9,64,57.9,51.5,46.5
4,Plaza de Espana,65.8,72.8,67.8,63.7,57.3,50
5,Barrio del Pilar,63.9,70.9,67,60.4,46.7,39.8
6,Gregorio Maranon,70.2,76.9,73.6,67.1,59.8,51.4
8,Escuelas Aguirre,67.7,74.2,70.9,65.9,58.1,47.7
10,Cuatro Caminos,65.1,73.2,68.7,60.8,48.3,41.3
11,Ramon y Cajal,68.8,75,72.2,66.9,52.8,41.8
12,Plaza Manuel Becerra,65.1,72.2,65.6,61.5,54.3,47.7
13,Vallecas,60.8,66.3,60.9,54,42.3,37.7
14,Glorieta Fdez. Ladreda,65.3,71.5,67.8,63.2,55.6,47.8
16,Arturo Soria,61.7,68,65.1,59.2,43.4,37.3
17,Villaverde,59.1,65.4,59,52.7,43.2,39.8
18,Farolillo,64.5,65.3,58.5,50.9,42,36.5
19,Alto Extremadura,61.4,69.2,64,57.8,47.2,38.4
20,Avda de Moratalaz,62.6,71.2,65.2,58.5,45.7,38.3
24,Casa de Campo,47.9,56.1,50.6,44.5,39.9,37.7
25,Santa Eugenia,65.1,69.7,67.6,65,56.5,47.3
26,Embajada,62.9,71.5,67.4,57.6,49.8,43.4
27,Barajas Pueblo,61.9,72.5,65.7,53.2,42.4,36.3
28,Cuatro Vientos,66.7,75.2,71.3,61,42.4,36.6
29,El Pardo,54.4,63.5,58.4,49.2,35.8,33.3
30,Campo de las Naciones,59.7,66.9,63.5,57,44.7,39.5
31,Sanchinarro,63.5,73.1,68.6,55.7,43.8,38.4
47,Mendez alvaro,58.7,66.8,55.9,48.7,42.4,39.5
48,Castellana,62.6,68.7,65.5,61.4,53.4,46
50,Pza de Castilla,65.5,72.1,67.2,63,54.7,47.1
54,Ensanche de Vallecas,60.9,68,64.2,59.2,49.8,47.2
55,Urbanizacion Embajada II,55.8,63.5,58.2,50.7,43.9,41.1
86,Tres Olivos,58.5,67.3,61.4,51.8,39.8,37.1
