NMT,Nombre,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.7,74.9,72.3,65.9,57.2,49.8
2,Carlos V,69.7,76.2,71.7,68.3,61.5,54.2
3,Plaza del Carmen,61.3,69.9,63.8,57.7,51.2,45.7
4,Plaza de Espana,65.6,73.9,68,63.8,56.8,48.7
5,Barrio del Pilar,62.4,69.6,66,59.7,45.8,39.5
6,Gregorio Maranon,70.6,77.4,73.9,67.4,59.9,51.4
8,Escuelas Aguirre,68,74.6,71.2,66.1,58,46.7
10,Cuatro Caminos,65.3,73.4,68.9,61.3,48.6,41.5
11,Ramon y Cajal,69.1,75.2,72.5,67.4,52.4,40.1
12,Plaza Manuel Becerra,64.5,70.9,65.5,61.5,53.9,46.4
13,Vallecas,58.2,66.1,61,54.2,42.3,37.5
14,Glorieta Fdez. Ladreda,65.1,71.1,67.8,63.2,55.2,47.2
16,Arturo Soria,61.6,68.4,65.3,59.6,43.8,37.1
17,Villaverde,57,65.6,59.4,53,42.5,39.4
18,Farolillo,55.5,64.8,58.3,50.5,39.5,35.2
19,Alto Extremadura,61.8,69.8,64.5,58.4,47.6,37.8
20,Avda de Moratalaz,62.2,70.9,65.1,58.5,45.6,37.8
24,Casa de Campo,48.2,56.6,50,43.2,39,36.7
25,Santa Eugenia,65.4,70.4,68,65.1,56.5,47
26,Embajada,62.9,71.6,67.7,57.7,48.6,41
27,Barajas Pueblo,62,72.6,65.9,52.8,40.8,34.8
28,Cuatro Vientos,66.7,75.2,71.2,61.1,41.4,36
29,El Pardo,54.4,63.6,58.6,49.5,36.1,33.6
30,Campo de las Naciones,59.9,67.1,63.7,57.6,44,38.4
31,Sanchinarro,63.2,73.2,68.3,55.8,44.1,39.1
47,Mendez alvaro,55.5,66.4,55.7,48.8,41,38.1
48,Castellana,62.6,68.5,65.6,61.7,53.5,45.7
50,Pza de Castilla,65.9,72.6,67.5,63.6,55,47.3
54,Ensanche de Vallecas,60.9,67.9,64.3,59.4,52,49.1
55,Urbanizacion Embajada II,55.5,64.1,58.4,50.3,42.9,40.2
86,Tres Olivos,57.7,67.1,61.5,52.1,39.2,36.4
