NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,70.1,69.3,66.2,69,75.7,72,65.7,57.3,49.8
2,Carlos V,70.3,69.7,66.7,69.3,75.9,71.4,67.9,61.5,54.2
3,Plaza del Carmen,61.3,61.5,59.2,60.7,69.4,63.5,57.6,51.3,44.8
4,Plaza de Espana,66,65.7,62.4,65,72.6,67.5,63.6,57,48.7
5,Barrio del Pilar,63.2,62.9,55.9,61.8,69,65.4,59.3,47.1,39.7
6,Gregorio Maranon,71.2,70.7,66.6,70,77,73.5,66.9,59.7,51.4
8,Escuelas Aguirre,68.8,67.9,64.5,67.6,74.5,70.8,65.6,57.6,46.5
10,Cuatro Caminos,66.3,65.6,59.7,64.8,73.3,68.4,60.5,50,46.3
11,Ramon y Cajal,70,69.4,63.8,68.6,74.9,71.9,66.7,52.5,39.4
12,Plaza Manuel Becerra,65.2,65.3,59.6,64.1,70.6,65.4,61.3,53.7,46
13,Vallecas,58.9,58.7,51.3,57.5,65.8,60.7,53.8,41.2,36.6
14,Glorieta Fdez. Ladreda,66,65.6,60.9,64.8,70.9,67.4,62.7,55,47.4
16,Arturo Soria,62.4,61.6,56.7,61,68,64.8,58.8,43.2,36.4
17,Villaverde,59.2,59.3,50.7,57.8,66.6,59.9,53.3,42.1,38.5
18,Farolillo,58.4,58.7,49.3,56.9,67,59.2,51.5,41.4,36
19,Alto Extremadura,62.6,61.8,57.4,61.3,69.5,64.3,57.9,47.7,37.5
20,Avda de Moratalaz,63.5,63,56.2,62,71,64.8,58.2,45.3,37.6
24,Casa de Campo,50.4,47.3,42.4,48.3,57.4,51.4,44.1,38.5,36.2
25,Santa Eugenia,67,66.5,61.2,65.7,72.7,68.7,64.6,56.6,47.8
26,Embajada,63.9,62.7,58.5,62.5,71,67.1,57.9,48.8,41.6
27,Barajas Pueblo,62.9,64.6,57.4,62.1,72.6,65.4,53.4,41.9,35.1
28,Cuatro Vientos,67.7,66.1,59.9,66,74.9,70.6,59.9,40.8,34
29,El Pardo,57.5,54.7,48.5,55.5,65.2,58.8,50.2,36.3,33.9
30,Campo de las Naciones,61.4,60.1,54.9,59.9,67.7,63.3,57.2,43.4,37.8
31,Sanchinarro,64.2,64.5,53.5,62.7,73,67.5,54.6,43.4,38.4
47,Mendez alvaro,55.9,60.1,49.5,56,66.7,55.6,48.6,40.6,37.1
48,Castellana,63.2,62.6,59.3,62.1,68.4,65,61.2,53.5,44.7
50,Pza de Castilla,67,66.2,61.2,65.6,72.4,67.5,62.9,54.7,46.5
54,Ensanche de Vallecas,61.9,62.1,56.8,60.8,67.9,64,59.2,53.6,51.2
55,Urbanizacion Embajada II,57.4,56,51.5,55.9,64.7,58.3,50.7,43.4,40.4
86,Tres Olivos,58.8,57.7,50.2,57.1,66.7,61,51.6,39.5,36.3
