NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,69.1,68.4,65.5,67.9,N/D,N/D,N/D,N/D,N/D
2,Carlos V,70.3,69.7,66.8,69.2,N/D,N/D,N/D,N/D,N/D
3,Plaza del Carmen,62.1,61,59.9,61.3,69.7,63.8,58.4,52.6,47.5
4,Plaza de Espana,65.9,65.7,62.4,64.9,72.3,67.5,63.8,56.9,48.8
5,Barrio del Pilar,63.3,62.9,56.2,61.8,68.9,65.4,59.4,47.1,40.3
6,Gregorio Maranon,71.9,71.1,66.9,70.4,N/D,N/D,N/D,N/D,N/D
8,Escuelas Aguirre,68.5,67.6,64.2,67.3,74,70.4,65.6,58,48.4
10,Cuatro Caminos,66.7,65.5,60.1,65.1,73.4,68.7,61.1,51,46.2
11,Ramon y Cajal,69.2,68.3,62.5,67.7,74.2,70.9,66,52,40.5
12,Plaza Manuel Becerra,65.5,64.9,60,64.2,71.2,65.6,61.5,54.1,46.8
13,Vallecas,60.1,58.4,52.5,58.2,66.6,60.7,53.6,42.1,37.5
14,Glorieta Fdez. Ladreda,66.1,65.5,61.2,64.9,71.3,67.6,63,55.3,48
16,Arturo Soria,62.5,61.7,57.1,61.1,67.9,64.8,59.1,45.2,41.3
17,Villaverde,57.5,59.9,51.9,57,66,59.5,52.9,43,38.9
18,Farolillo,58.2,58.7,49.2,56.9,66.7,59,51.4,41.7,36.1
19,Alto Extremadura,62,61.5,56.6,60.7,69.2,63.8,57.4,47.2,37.5
20,Avda de Moratalaz,68.8,62.7,55.9,66.3,72.9,64.8,58.6,45.3,39.4
24,Casa de Campo,49.3,45.4,42.5,47.4,56.1,50.7,43.6,39.1,36.2
25,Santa Eugenia,66.9,66,61.6,65.4,N/D,N/D,N/D,N/D,N/D
26,Embajada,64.5,62.7,58.6,62.6,N/D,N/D,N/D,N/D,N/D
27,Barajas Pueblo,62.5,62.7,56.9,61.4,71.6,65.4,53.7,43,36.7
28,Cuatro Vientos,68.1,66.7,60.4,66.4,74.9,70.9,60.7,44,41.2
29,El Pardo,58.1,55,51.5,56.2,65.4,59.9,50.8,37.8,34.8
30,Campo de las Naciones,61.7,59.9,53.4,59.9,67.5,63.5,57.7,42.9,38
31,Sanchinarro,67.3,64.1,53.8,65.1,72.9,67.6,55,43.8,38.5
47,Mendez alvaro,57,58.3,48.6,55.9,66.8,56,48.3,40.3,37
48,Castellana,63,62.7,58.8,61.9,68,65.1,60.7,53.5,45.2
50,Pza de Castilla,67.5,66,61.7,65.1,N/D,N/D,N/D,N/D,N/D
54,Ensanche de Vallecas,61.3,61.5,54.6,60,67.3,63.5,58.3,46.8,44.2
55,Urbanizacion Embajada II,56.3,55,50.3,54.8,63.4,57.8,50.2,42.6,38
86,Tres Olivos,59.6,59.3,50.9,58.1,67.4,61.4,52,38.9,36
