NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.4,68,65,67.4,73.9,70.5,65.1,57.2,50.2
2,Carlos V,70.1,69.7,66.3,69.1,75.4,70.9,67.4,60.7,54
3,Plaza del Carmen,61.9,60.9,59.7,61.1,70,63.6,58.4,53.7,50.4
4,Plaza de Espana,65.8,65.6,61.3,64.7,72,67.2,63.4,56.1,49.3
5,Barrio del Pilar,62.7,63.5,55.4,61.5,69,65,59,46.8,39.5
6,Gregorio Maranon,70.6,69.9,65.9,69.4,76.7,72.7,66.4,58.8,50.9
8,Escuelas Aguirre,68.4,69.3,66.3,68.2,76.5,70.5,65.6,57.9,49.3
10,Cuatro Caminos,66.1,65.1,59.1,64.5,72.8,68,60.4,49.1,44.6
11,Ramon y Cajal,68.6,68.1,61.9,67.1,73.5,70.2,65.4,51.1,40
12,Plaza Manuel Becerra,65.2,65.2,59.4,64,70.3,65.3,61.2,53.5,47.4
13,Vallecas,58.2,58.6,51.9,57,65.5,59.9,53.2,41.4,36
14,Glorieta Fdez. Ladreda,65.3,65.5,61,64.3,70.5,66.7,62.3,55.8,49.3
16,Arturo Soria,61.3,60.8,55.7,60,66.8,63.6,57.9,42.2,35.3
17,Villaverde,57.2,60.7,52.7,57.2,66.9,59.7,52.7,41.8,37.9
18,Farolillo,58.5,61.2,49.6,57.8,67.1,59.3,51.3,42.6,38.3
19,Alto Extremadura,62.4,61.8,56.9,61.1,70.2,64.3,57.2,46.9,38
20,Avda de Moratalaz,62.6,62.4,55.3,61.2,70.6,63.9,57.4,44.3,37.8
24,Casa de Campo,50.2,48.8,41.1,48.5,58.2,51.2,43.8,38.2,34.8
25,Santa Eugenia,65.6,65.3,60.6,64.4,69.7,66.9,64.1,56.6,48
26,Embajada,62.8,61.7,57.6,61.5,69.9,66,56.9,49,42
27,Barajas Pueblo,61.1,60.4,56.2,59.9,70.4,64.1,51.7,42.3,34.6
28,Cuatro Vientos,66.7,65.8,59.7,65.2,73.8,69.6,59.7,43.2,40.1
29,El Pardo,57.8,58.9,58.2,58.1,67.4,59.2,50.9,38.8,35.5
30,Campo de las Naciones,60.4,59.4,52.4,58.8,66.3,62.4,56.6,41.9,37.2
31,Sanchinarro,63,63.3,52.7,61.5,71.6,66.4,53.2,42.9,37.7
47,Mendez alvaro,55.7,60,49.3,55.8,67.3,55.5,48.1,40.6,36.2
48,Castellana,62.3,61.8,57.9,61.2,67.7,64.3,59.8,53.2,46.1
50,Pza de Castilla,66.4,66.2,61.2,65.2,72.3,66.9,62.7,54.7,47.5
54,Ensanche de Vallecas,60.3,60.5,58,59.7,66.8,62.4,57.1,45.9,43.1
55,Urbanizacion Embajada II,56.5,53.9,53.2,55.2,62.6,56.8,49.2,42.9,38.1
86,Tres Olivos,58.8,58.1,50.3,57.2,66.8,61,51.6,38.7,35.9
