NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,69,68.4,65.8,68,74.8,71.3,65.6,57.4,49.3
2,Carlos V,70,69.8,66.5,69,75.6,71.4,67.7,61.3,54.8
3,Plaza del Carmen,62.8,61.8,59.6,61.8,71,64.4,58.6,52.6,47.1
4,Plaza de Espana,66.6,65.1,61.2,65.1,73.3,67.8,63.6,56.5,49.3
5,Barrio del Pilar,63.4,63.3,56.2,62,69.3,65.7,59.4,47.4,40.1
6,Gregorio Maranon,71.8,71.1,67.1,70.5,77.9,74.1,67.4,60.2,52.3
8,Escuelas Aguirre,68.7,68.1,64.5,67.6,74.2,70.7,66,58.3,48.9
10,Cuatro Caminos,66.7,65.6,60.1,65.2,73.9,69,61.2,50.3,44.1
11,Ramon y Cajal,69.6,68.8,62.9,68.1,74.9,71.4,66.5,52.3,39.2
12,Plaza Manuel Becerra,66.1,65.9,59.5,64.7,73.5,65.7,61.6,54.3,47.7
13,Vallecas,60,58.4,52.1,58.3,67.3,60.7,53.7,41.8,38.8
14,Glorieta Fdez. Ladreda,66.4,65.9,61.2,65.1,71.5,67.8,63.2,55.7,48.3
16,Arturo Soria,62.8,62,57,61.4,68.3,65,59.4,42.8,36.1
17,Villaverde,59.2,59.5,53.9,58.1,66.1,59.8,53.5,41.8,38.2
18,Farolillo,60.5,60.7,52.4,59.1,69.9,60.7,53,41,34.8
19,Alto Extremadura,62.3,61.8,56.6,61,69.4,64,57.6,47,37.3
20,Avda de Moratalaz,63.3,62.6,56.3,61.8,70.8,64.7,58.4,45.8,38.1
24,Casa de Campo,50.4,48.3,41.8,48.5,57.4,51.3,44.9,38.4,36.2
25,Santa Eugenia,67.6,67.2,62.7,66.5,72.9,69.5,65.4,58,49.3
26,Embajada,64.1,62.8,58.6,62.8,71,67.2,58.5,50.1,42.5
27,Barajas Pueblo,62.7,63.5,57,61.7,72,65.7,53.3,41.1,34.9
28,Cuatro Vientos,68.4,67.1,60.9,66.7,75.3,71.2,61.3,41.8,35
29,El Pardo,58.2,56.6,49.8,56.4,65.8,60.3,51.1,35,28.6
30,Campo de las Naciones,62.3,60.5,54.2,60.5,68.5,63.9,57.9,43.2,37.7
31,Sanchinarro,64.7,64.7,54,63.1,73.3,67.9,54.8,43.1,38.4
47,Mendez alvaro,57.4,57.9,48.8,56,66.5,56.2,50,39.9,36.2
48,Castellana,63.7,63,62.4,63.2,70.3,65.7,61.1,53.8,44.7
50,Pza de Castilla,67,66.4,62.3,65.8,72.3,68.1,63.5,56.1,48.5
54,Ensanche de Vallecas,61.5,61.4,54.7,60.1,67.9,63.7,58.2,43.7,37.6
55,Urbanizacion Embajada II,56.7,55.2,51.8,55.3,63.9,58.3,51.1,44.3,42.1
86,Tres Olivos,59.9,59.5,51.1,58.3,68.1,62.2,53.1,39.4,37.2
