NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,67.6,66.3,64.1,66.1,72.7,69.3,63.1,55.4,48.8
2,Carlos V,68.7,68.5,65.3,67.8,74.5,70.1,66.3,59.6,53.5
3,Plaza del Carmen,61.2,60.7,59.2,60.5,68.9,63.1,57.8,53.3,50.1
4,Plaza de Espana,64.8,63.8,60.4,63.6,71.7,65.7,62.1,55.2,47.8
5,Barrio del Pilar,61.2,62.3,55.6,60.3,67.6,63.7,57.4,47.3,41
6,Gregorio Maranon,69,68.2,64.4,67.7,75,71.3,64.6,57.1,50
8,Escuelas Aguirre,66.2,66.4,63,65.4,72.1,68.4,63.8,56.7,49.9
10,Cuatro Caminos,63.6,63.3,58.5,62.4,71,65.7,57.4,47.8,43.4
11,Ramon y Cajal,67.5,66.4,59.7,65.9,73.8,68.9,62.6,48.4,40.9
12,Plaza Manuel Becerra,63.5,63.5,58.2,62.4,69.2,64.3,59.6,52.2,46.7
13,Vallecas,56.2,57.3,52.6,55.6,63.9,58.5,51.6,43.7,38.8
14,Glorieta Fdez. Ladreda,64.4,64.4,60.3,63.4,70.5,66,61.1,54.1,47.5
16,Arturo Soria,59.6,59,54.2,58.3,65.6,61.9,55.2,41.6,37.1
17,Villaverde,56.5,62.1,56.1,58,68,61.1,52.7,42.5,35.3
18,Farolillo,57.1,59.5,50.3,56.4,66.6,58.3,50.2,41.4,36.2
19,Alto Extremadura,60.1,60.5,56.2,59.2,68.7,61.8,54.8,46.8,41.4
20,Avda de Moratalaz,60.4,60.7,55.2,59.3,68.4,61.7,55.2,44,37
24,Casa de Campo,49.2,49.5,43,48,55,50,45.4,40.3,36.4
25,Santa Eugenia,65,64.2,60.7,63.8,68.9,66.2,63.2,56.5,48.8
26,Embajada,61.7,60.4,57,60.4,69.2,64.8,55.9,49.4,42.5
27,Barajas Pueblo,60.6,59.1,55.9,59.3,70,62.9,51.1,43.9,36.6
28,Cuatro Vientos,65.7,64.8,58.8,64.2,73.3,68.3,58.5,43.3,35.1
29,El Pardo,56.2,54.7,50.4,54.7,63.4,58,50.1,39.2,34.9
30,Campo de las Naciones,58.1,57.7,52.4,56.8,64.6,60.2,54.3,44.4,39.2
31,Sanchinarro,60.6,61.4,51.3,59.3,70.1,64,50,42.2,37
47,Mendez alvaro,52.4,54.7,48.1,52,59.8,52.5,47.6,42.6,37.1
48,Castellana,60.8,59.9,56.1,59.6,66.3,62.3,58.4,51.6,45.1
50,Pza de Castilla,64.7,64.2,59.7,63.4,70.5,65.5,61,53.1,47.3
54,Ensanche de Vallecas,57.9,58.5,52.8,56.9,64.9,60.3,54.5,44.8,38.8
55,Urbanizacion Embajada II,54.2,53.2,50,53,61.1,55.7,49.7,45.7,42.1
86,Tres Olivos,55.8,55.4,49.4,54.4,65,57.8,47.8,40,36.2
