NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,69.5,68.8,66.7,68.7,74.9,71.6,66.1,58.5,51
2,Carlos V,70.5,70,67.5,69.4,76.3,71.5,67.9,61.9,56.3
3,Plaza del Carmen,63,60.9,60.6,62.1,70.2,63.8,58,52.5,48.6
4,Plaza de Espana,66.2,66.4,62.8,65.4,73.4,67.7,63.7,57,50.4
5,Barrio del Pilar,66.7,66.8,56.8,65.2,74.9,68,59.9,48.1,40.5
6,Gregorio Maranon,71.8,71.3,67.9,70.7,77.7,74.2,67.6,61,53.8
8,Escuelas Aguirre,68.2,67.5,64.9,67.2,73.9,70.3,65.4,58.1,49.1
10,Cuatro Caminos,66.9,65.9,61.4,65.5,73.8,69,61,51.1,44.3
11,Ramon y Cajal,69.7,68.8,64,68.3,74.6,71.4,66.7,53.9,42
12,Plaza Manuel Becerra,65.6,64.8,60.1,64.3,71.5,65.6,61.5,54.3,47.6
13,Vallecas,61.9,62.6,57.3,61,67,61.1,54.2,43.7,40.1
14,Glorieta Fdez. Ladreda,66.7,66,61.9,65.5,71.8,68,63.3,56,48.4
16,Arturo Soria,63.9,62.1,58.6,62.4,68,65.1,59.4,44.3,38.1
17,Villaverde,62.7,66.7,60.6,63.3,67.5,60.3,53.4,42.9,35.9
18,Farolillo,65.5,66.5,57.1,64.4,69.8,60,52,43.2,38.9
19,Alto Extremadura,62.7,62.5,57.7,61.6,69.8,64.1,57.7,47.8,38.8
20,Avda de Moratalaz,63.5,62.9,57.8,62.2,70.8,64.6,58.9,47.9,41
24,Casa de Campo,49.8,47.7,43.2,48.1,56.4,50.9,44.9,40.2,37.1
25,Santa Eugenia,67.6,67.1,63.1,66.5,71.9,68.8,66,58.7,50
26,Embajada,64.4,64.5,59.5,63.2,71.6,67.6,58.4,50.8,43.6
27,Barajas Pueblo,63.2,62.7,57.5,61.9,72.2,65.8,54.8,43.8,36.9
28,Cuatro Vientos,68.5,68.2,61.4,67.1,75.4,71.5,61.6,43.6,38
29,El Pardo,59.3,57.3,49.7,57.3,66,60.5,50.3,36.8,33.4
30,Campo de las Naciones,61.6,59.9,54.4,59.9,67.6,63.4,57.4,44.6,40.7
31,Sanchinarro,65.2,64.8,54.7,63.6,73.2,68.3,55.5,44.5,39.2
47,Mendez alvaro,55.9,59.5,51,55.9,66.6,55.2,48,41.1,36.7
48,Castellana,64.2,63.2,59.9,63,68.9,65.7,61.5,54.5,46.6
50,Pza de Castilla,67.6,66.2,62.5,66.2,73,67.6,63.4,56.3,49.4
54,Ensanche de Vallecas,62.1,62.2,55.3,60.8,67.5,64,58.7,45.5,38.6
55,Urbanizacion Embajada II,57.5,56.4,52.5,56.1,64.1,58.8,51.7,44.3,39.7
86,Tres Olivos,59.5,59.2,52.1,58,67.6,61.8,52,39.6,36.9
