NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,69.4,69.3,66.2,68.5,74.8,71.9,66,57.7,49.8
2,Carlos V,70.3,69.8,66.8,69.3,75.5,71.6,68.2,61.5,54.8
3,Plaza del Carmen,62.1,61.4,59.3,61.3,69.7,63.8,58.1,51.3,45.7
4,Plaza de Espana,66.9,66.8,62,65.8,74.2,67.9,64,56.9,49.2
5,Barrio del Pilar,63.7,63.3,56.4,62.2,69.3,66,59.7,46.5,39.2
6,Gregorio Maranon,72,71.3,67.2,70.7,77.6,74.4,67.8,60.3,51.7
8,Escuelas Aguirre,68.9,68.1,64.5,67.7,74.2,70.8,66.1,58.4,49.5
10,Cuatro Caminos,67.1,66,60.4,65.5,73.8,69.3,61.7,51,44.4
11,Ramon y Cajal,69.8,69,63.5,68.4,74.7,71.7,66.9,52.8,40.3
12,Plaza Manuel Becerra,65.4,65.1,59.6,64.1,70.3,65.6,61.7,54.4,47.1
13,Vallecas,60.8,58.3,53,59,67.4,61.3,54.4,43.8,40.4
14,Glorieta Fdez. Ladreda,66.5,65.9,61.3,65.2,71.2,68,63.4,55.6,47.8
16,Arturo Soria,63.3,62.4,57.3,61.9,68.3,65.5,60.1,44.2,37.8
17,Villaverde,57.7,58.7,51.5,56.7,64.9,59.2,53.2,43.5,39.7
18,Farolillo,63.3,58.5,49.8,60.8,67.5,59.4,51.7,40.6,35.1
19,Alto Extremadura,62.6,61.6,57.2,61.2,69.3,64.4,58.4,47.9,38.2
20,Avda de Moratalaz,63.6,62.9,56,62.1,71,64.9,58.9,46.1,38.5
24,Casa de Campo,51.1,46.7,44,49.1,59.1,51.2,44.2,39.1,36.5
25,Santa Eugenia,67.3,66.7,61.9,66,71.3,68.6,65.6,57.4,48.3
26,Embajada,64.5,63.2,58.9,63.1,71.6,67.8,58.3,49.7,42.4
27,Barajas Pueblo,63.2,62.2,57.5,61.8,72.3,66,54.1,43,37.1
28,Cuatro Vientos,68.8,67.3,61.1,67.1,75.6,71.7,61.8,43.3,36.6
29,El Pardo,57.9,55.8,50.1,56.1,65.5,60.4,50.5,36.3,33.6
30,Campo de las Naciones,62.4,60.6,54.1,60.6,68.2,64.1,58.4,44.5,39.3
31,Sanchinarro,64.9,64.9,54.6,63.3,73.4,68.2,56.3,45.5,39.6
47,Mendez alvaro,58.5,57.1,49.1,56.7,66.5,56.6,49.5,40.7,36.7
48,Castellana,64.2,63.4,59.7,63,69.2,66.1,61.6,54.1,45.9
50,Pza de Castilla,67.1,66.2,62.8,65.9,72.3,67.9,64,56.5,48.8
54,Ensanche de Vallecas,62.7,62.5,57.5,61.5,68.4,64.9,60.2,48.8,41.2
55,Urbanizacion Embajada II,57,55.4,51.1,55.5,63.6,58.5,51.3,44.4,42
86,Tres Olivos,59.9,58.2,50.6,58,67.5,61.8,52.7,39.9,37.2
