NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,67.8,68.8,66.6,67.6,76,69.8,64.4,56.6,49.8
2,Carlos V,69.2,74.6,66.1,70.2,79,70.3,66.7,60.9,54.2
3,Plaza del Carmen,61.7,61.3,61.2,61.5,69.9,64,58.7,54.2,50.3
4,Plaza de Espana,66.2,67.3,68.5,67.3,80,66.9,62.4,55.9,48.6
5,Barrio del Pilar,61.6,63.8,58.6,61.3,68.4,64.2,58.5,48.2,41.4
6,Gregorio Maranon,69.8,69.3,65.8,68.7,75.7,72.1,65.6,58.8,51.8
8,Escuelas Aguirre,67.1,67.5,64.8,66.5,73,69.4,65,58.1,50.8
10,Cuatro Caminos,64.9,64.2,59.2,63.5,71.9,66.9,59.2,49.5,44.7
11,Ramon y Cajal,67.5,66.8,61.4,66,72.4,69.4,64,51.9,41.7
12,Plaza Manuel Becerra,64.7,64.6,60.1,63.6,70.5,65,60.7,53.9,48.2
13,Vallecas,58,62.9,61.1,60.3,73.1,60.2,53.2,44.7,39.6
14,Glorieta Fdez. Ladreda,64.5,64.5,60.9,63.6,70.2,66.2,61.5,54.9,48.2
16,Arturo Soria,61,59.4,55.1,59.4,66.6,62.1,55.9,42.7,37.3
17,Villaverde,57.2,62.7,57.7,58.8,68.6,62.1,53.9,43.4,38.3
18,Farolillo,58.3,58.9,51.8,57.1,66.6,59.1,51.6,43,36.2
19,Alto Extremadura,61.3,60.8,56.2,60,69.3,62.6,55.9,47,39.3
20,Avda de Moratalaz,61.2,61.1,55.4,59.9,69.3,62.4,56.1,45.4,38
24,Casa de Campo,48.6,49.1,43.6,47.6,54.6,49.9,45.5,40.4,36.7
25,Santa Eugenia,65.2,64.7,61.3,64.1,68.8,66.5,63.7,57.5,49.8
26,Embajada,62.5,61.2,57.6,61.1,69.3,65.3,57.2,50.1,43.2
27,Barajas Pueblo,61.4,61,56.6,60.2,70.2,64.5,52.6,44.2,37
28,Cuatro Vientos,67.6,67.9,62,66.5,74.8,70.8,61.5,44.8,37.2
29,El Pardo,58.1,56,52.1,56.5,64.8,59.5,52.5,39.9,35.1
30,Campo de las Naciones,59.1,58.5,53.5,57.8,65.4,61.2,55.2,43.6,38.6
31,Sanchinarro,61.7,62.8,53,60.5,70.7,65.5,51.7,43.3,38.4
47,Mendez alvaro,54.6,56.6,50.5,54,65,54.8,49.2,43.8,37.5
48,Castellana,61.4,61.1,57.7,60.4,66.8,63.5,59,53.1,47.3
50,Pza de Castilla,65.6,65.1,61.2,64.4,70.8,66.2,62.1,54.9,48.5
54,Ensanche de Vallecas,58.9,59.7,53.5,57.9,65.6,61.2,55.7,44.4,37.7
55,Urbanizacion Embajada II,55.3,54.9,52.7,54.5,61.9,56.9,51.5,46.9,43.2
86,Tres Olivos,57.1,57.2,51.1,55.9,65.7,59.5,50,41.2,36.7
