NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,67.6,67.4,64.6,66.8,73,69.7,64.8,56.8,49.4
2,Carlos V,69.1,68.8,65.7,68.2,74.6,70.2,66.9,60.6,53.8
3,Plaza del Carmen,62.6,61.9,59.7,61.7,69.2,65.4,59,54,49.8
4,Plaza de Espana,68.5,67.4,60.8,66.9,75,66.7,62.8,55.6,47.7
5,Barrio del Pilar,62.3,63.7,56.6,61.4,68.6,64.7,58.9,47.6,40
6,Gregorio Maranon,70.6,70.2,66.2,69.5,76.8,72.7,66.3,59.3,51.8
8,Escuelas Aguirre,68.4,67.8,64.3,67.3,74.2,69.9,65.6,58.3,50.8
10,Cuatro Caminos,65.6,64.8,59.6,64.2,72.3,67.6,60.2,49.6,44.6
11,Ramon y Cajal,68.4,67.9,62,67,73.3,70,65.7,52.3,41
12,Plaza Manuel Becerra,65.2,65.3,59.8,64.1,70.9,65.4,61.3,54.2,48.3
13,Vallecas,58.1,61.8,53.1,58.1,66.3,59.7,53.4,43,39
14,Glorieta Fdez. Ladreda,65.1,65.2,60.6,64.1,70.6,66.6,62,54.8,47.6
16,Arturo Soria,62.3,60.7,55.6,60.7,67.8,63.2,57.7,43,36.5
17,Villaverde,58.4,63.4,57.9,59.6,69.4,62.5,55,43.1,38.3
18,Farolillo,57.8,60.6,52.3,57.4,67.2,59.6,52,41.4,35.5
19,Alto Extremadura,61.3,61.6,56.6,60.3,69.1,62.7,56.4,46.4,37.1
20,Avda de Moratalaz,62.3,62.2,55.1,60.9,70.2,63.3,57.6,45.4,37
24,Casa de Campo,51.1,49.7,44.5,49.6,57.9,51.2,44.9,38.5,35
25,Santa Eugenia,65.3,64.9,61,64.2,68.8,66.4,63.8,56.9,48.8
26,Embajada,62.7,61.3,57.8,61.3,69.6,65.7,57,49.5,42
27,Barajas Pueblo,61.8,62.7,56.3,60.8,71.1,64.6,52.5,42.5,35.1
28,Cuatro Vientos,67.2,66,60.4,65.6,73.7,69.8,61,43.7,35.2
29,El Pardo,57.3,57.7,50.6,56.1,64.6,59.3,52.1,38.3,34.5
30,Campo de las Naciones,60.4,59.5,53.5,58.9,66.2,62.1,56.8,42.8,37.4
31,Sanchinarro,62.6,63.1,53.1,61.2,71,66.1,53,43.1,37.4
47,Mendez alvaro,56.8,57.6,50.4,55.7,67,55.8,50,42.2,36.7
48,Castellana,62.1,61.7,58,61,67.4,63.9,59.6,53.2,46.1
50,Pza de Castilla,66.3,65.7,61.6,65.1,72,66.7,62.7,55.4,48.2
54,Ensanche de Vallecas,59.5,60,53.4,58.4,65.8,61.7,56.4,43.7,37.6
55,Urbanizacion Embajada II,55.8,54.6,50.6,54.4,62.5,57.3,51.1,44.1,38.7
86,Tres Olivos,58.7,58.6,52.8,57.5,66.7,61,52.4,40.2,36.5
