NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,69.9,67.8,67.2,68.9,75.7,70.6,65,56.7,48.8
2,Carlos V,69.5,69.4,66.9,68.8,75.5,70.9,67.3,61.2,54.2
3,Plaza del Carmen,61.5,61.2,59.3,60.9,69.2,63.7,58.3,52.7,47.8
4,Plaza de Espana,65.9,65,61,64.6,72.3,67.2,63.1,55.8,47.8
5,Barrio del Pilar,63.1,63.1,56.4,61.8,69,65.2,58.9,47.1,39.5
6,Gregorio Maranon,71,70.6,67.3,70.1,77.2,73.5,66.9,59.7,51.8
8,Escuelas Aguirre,68.3,68.2,64.6,67.4,73.9,70.3,65.7,58,48.9
10,Cuatro Caminos,66.2,65.2,59.6,64.7,73,68.3,60.5,49.6,43.7
11,Ramon y Cajal,68.9,68.3,62.6,67.5,74.1,70.7,65.9,52.2,39.4
12,Plaza Manuel Becerra,65.3,65.6,60.1,64.2,71.1,65.5,61.4,54.2,48.1
13,Vallecas,58.6,58.1,52.4,57.2,65.7,60,53.2,42,38.3
14,Glorieta Fdez. Ladreda,65.8,65.2,61.1,64.6,71,67.1,62.5,55.2,47.7
16,Arturo Soria,61.8,61.1,56.2,60.5,67.6,63.9,58.2,41.9,35.6
17,Villaverde,58.7,60.7,60.5,59.8,67.4,60.8,54,41.8,38.2
18,Farolillo,59.3,62.6,58.9,60,68.9,60.7,53.4,41.1,34.6
19,Alto Extremadura,61.6,61.6,57.6,60.7,69,63.4,56.9,46.5,36.7
20,Avda de Moratalaz,62.9,62.2,55.4,61.4,70.8,64.1,57.8,45.1,36.8
24,Casa de Campo,50.9,49.1,41.3,49,58.9,52,44.5,38,35.4
25,Santa Eugenia,66.7,66.4,61.9,65.6,71.9,68.4,64.6,57.3,48
26,Embajada,63.5,62.2,58.2,62.1,70.7,66.6,57.6,49.7,41.6
27,Barajas Pueblo,62.3,63.2,56.5,61.3,71.6,65.1,52.5,41.6,34.3
28,Cuatro Vientos,67.6,66.3,60.4,66,74.7,70.4,60.6,41.7,34.7
29,El Pardo,58.1,56.5,49.6,56.3,65.6,59.8,51.1,36.4,33.2
30,Campo de las Naciones,61.5,60.4,53.5,59.8,67.7,63.2,57.5,42.3,36.3
31,Sanchinarro,63.7,64,53.6,62.2,72.7,67,53.4,42.8,37.5
47,Mendez alvaro,58.2,58.7,48.9,56.8,67.7,56,49.5,40.2,36.3
48,Castellana,62.9,62.2,59.5,61.9,69.2,64.7,60.2,53.2,44.6
50,Pza de Castilla,66.4,65.8,62.1,65.3,72,67.3,63,55.5,47.8
54,Ensanche de Vallecas,60.7,60.6,54.1,59.4,67.2,62.8,57,42.2,36.3
55,Urbanizacion Embajada II,57.9,54.7,50.5,56,64.2,57.8,50.3,43.7,38.3
86,Tres Olivos,59.3,58.2,58.8,59,67.3,61.4,52.2,39.5,36.7
