NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.4,67.9,65.7,67.6,74.3,70.8,65.3,57.2,49.8
2,Carlos V,70.2,70.1,66.9,69.3,75.8,71.5,68,61.9,55.6
3,Plaza del Carmen,61.9,61.7,60.1,61.4,69.7,64.2,58.9,52.7,47.5
4,Plaza de Espana,66,65.9,62.2,65,73.2,67.2,63.5,57,49.1
5,Barrio del Pilar,63.5,66,62.4,63.7,73.7,66.5,60.1,47.3,39.3
6,Gregorio Maranon,71.4,70.8,66.8,70.2,77,73.6,67,59.6,52
8,Escuelas Aguirre,68.2,67.8,64.4,67.2,73.7,70.1,65.6,58.8,50.6
10,Cuatro Caminos,66.2,65.8,60.1,64.9,73.3,68.4,60.6,49.3,43
11,Ramon y Cajal,74.2,68.5,64.4,71.9,83.5,71.2,66.3,52.5,39.8
12,Plaza Manuel Becerra,66,65.8,59.9,64.7,71.6,65.6,61.6,54.3,48
13,Vallecas,63.5,58.5,52.2,61.2,70.3,60.7,54,42.1,37.4
14,Glorieta Fdez. Ladreda,66,65.8,61.3,64.9,71.2,67.4,62.7,55.4,48
16,Arturo Soria,62.2,61.4,56.3,60.8,67.8,64.5,58.6,42.7,37.1
17,Villaverde,58.5,61.1,53.7,58.1,67.5,60.6,53.4,41.7,35.2
18,Farolillo,57.8,58.5,49.7,56.5,66.2,58.6,51,40.8,35.4
19,Alto Extremadura,61.8,61.8,56.4,60.6,68.9,63.1,56.7,46.7,37.2
20,Avda de Moratalaz,63,62.7,55.5,61.6,70.8,64.2,58,44.8,36.1
24,Casa de Campo,50.9,47.9,42.2,48.9,58.3,51.3,44.4,39.2,36.3
25,Santa Eugenia,67.5,66.8,62.3,66.2,72.3,68.9,65.2,57.8,49
26,Embajada,63.7,62.4,58.4,62.3,70.7,66.8,58,50.1,42.3
27,Barajas Pueblo,62.4,61.2,56.8,60.9,71.1,65.1,53.6,43.7,36.8
28,Cuatro Vientos,68.2,66.8,60.7,66.5,74.8,70.9,61.2,45.3,37.4
29,El Pardo,58.4,55.5,50,56.4,65.2,59.9,50.9,37.4,34.5
30,Campo de las Naciones,61.8,60.1,52.8,59.9,67.4,63.1,57.7,43.3,39
31,Sanchinarro,63.5,63.3,53.5,61.8,71.9,66.7,53.8,43.7,39.2
47,Mendez alvaro,55.3,58.6,48.6,55,66.3,54.7,47.8,40.6,36.8
48,Castellana,63.4,62.5,58.5,62.1,67.8,64.8,60.4,53.2,45.1
50,Pza de Castilla,66.6,66,61.6,65.4,71.7,67.3,63.1,55.5,48.3
54,Ensanche de Vallecas,60.8,61,53.9,59.5,66.9,63,57.5,43.4,36.7
55,Urbanizacion Embajada II,56.3,54.5,49.9,54.7,62.8,57.3,49.9,43,39
86,Tres Olivos,60.2,58.9,50.3,58.4,67,61,51.5,40.3,36
